ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
742,Closest Leaf in a Binary Tree,43.6%,Medium,0.383789382629124, https://leetcode.com/problems/closest-leaf-in-a-binary-tree
681,Next Closest Time,45.0%,Medium,0.3823452124405843, https://leetcode.com/problems/next-closest-time
253,Meeting Rooms II,45.7%,Medium,0.3758968418861914, https://leetcode.com/problems/meeting-rooms-ii
53,Maximum Subarray,46.5%,Easy,0.375777577908393, https://leetcode.com/problems/maximum-subarray
126,Word Ladder II,22.1%,Hard,0.374267802806815, https://leetcode.com/problems/word-ladder-ii
889,Construct Binary Tree from Preorder and Postorder Traversal,66.2%,Medium,0.3731218633879398, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal
430,Flatten a Multilevel Doubly Linked List,55.1%,Medium,0.3702096582803022, https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list
1463,Cherry Pickup II,65.7%,Hard,0.3674514814081202, https://leetcode.com/problems/cherry-pickup-ii
459,Repeated Substring Pattern,42.2%,Easy,0.3633051598558949, https://leetcode.com/problems/repeated-substring-pattern
1345,Jump Game IV,38.0%,Hard,0.363133899796418, https://leetcode.com/problems/jump-game-iv
1223,Dice Roll Simulation,45.6%,Medium,0.3577496350684978, https://leetcode.com/problems/dice-roll-simulation
158,Read N Characters Given Read4 II - Call multiple times,33.8%,Hard,0.3539505992522855, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
205,Isomorphic Strings,39.8%,Easy,0.3492453810291241, https://leetcode.com/problems/isomorphic-strings
859,Buddy Strings,27.4%,Easy,0.3485569758362848, https://leetcode.com/problems/buddy-strings
731,My Calendar II,49.1%,Medium,0.3483066942682158, https://leetcode.com/problems/my-calendar-ii
772,Basic Calculator III,41.3%,Hard,0.342522988151367, https://leetcode.com/problems/basic-calculator-iii
694,Number of Distinct Islands,56.0%,Medium,0.3424069721410274, https://leetcode.com/problems/number-of-distinct-islands
483,Smallest Good Base,35.7%,Hard,0.3393540829961018, https://leetcode.com/problems/smallest-good-base
715,Range Module,38.5%,Hard,0.3364722366212129, https://leetcode.com/problems/range-module
1125,Smallest Sufficient Team,46.6%,Hard,0.3364722366212129, https://leetcode.com/problems/smallest-sufficient-team
850,Rectangle Area II,47.5%,Hard,0.3339517563958779, https://leetcode.com/problems/rectangle-area-ii
803,Bricks Falling When Hit,30.8%,Hard,0.3339517563958779, https://leetcode.com/problems/bricks-falling-when-hit
960,Delete Columns to Make Sorted III,53.6%,Hard,0.3336393735369088, https://leetcode.com/problems/delete-columns-to-make-sorted-iii
323,Number of Connected Components in an Undirected Graph,56.0%,Medium,0.3298428832760589, https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph
1277,Count Square Submatrices with All Ones,73.3%,Medium,0.3296504505018546, https://leetcode.com/problems/count-square-submatrices-with-all-ones
368,Largest Divisible Subset,38.0%,Medium,0.3202730584694241, https://leetcode.com/problems/largest-divisible-subset
272,Closest Binary Search Tree Value II,50.5%,Hard,0.3195226783074397, https://leetcode.com/problems/closest-binary-search-tree-value-ii
1406,Stone Game III,56.1%,Hard,0.3195226783074397, https://leetcode.com/problems/stone-game-iii
913,Cat and Mouse,31.3%,Hard,0.3150810466398953, https://leetcode.com/problems/cat-and-mouse
1056,Confusing Number,48.6%,Easy,0.3150810466398953, https://leetcode.com/problems/confusing-number
900,RLE Iterator,53.5%,Medium,0.31383478526224, https://leetcode.com/problems/rle-iterator
433,Minimum Genetic Mutation,41.8%,Medium,0.3101549283038395, https://leetcode.com/problems/minimum-genetic-mutation
72,Edit Distance,44.8%,Hard,0.3092819909823789, https://leetcode.com/problems/edit-distance
947,Most Stones Removed with Same Row or Column,55.2%,Medium,0.3080150318071775, https://leetcode.com/problems/most-stones-removed-with-same-row-or-column
981,Time Based Key-Value Store,53.1%,Medium,0.3076005525488317, https://leetcode.com/problems/time-based-key-value-store
771,Jewels and Stones,86.4%,Easy,0.3061990240936433, https://leetcode.com/problems/jewels-and-stones
209,Minimum Size Subarray Sum,38.2%,Medium,0.3052704655526683, https://leetcode.com/problems/minimum-size-subarray-sum
317,Shortest Distance from All Buildings,41.4%,Hard,0.2987425362520947, https://leetcode.com/problems/shortest-distance-from-all-buildings
56,Merge Intervals,39.3%,Medium,0.2985378761406593, https://leetcode.com/problems/merge-intervals
871,Minimum Number of Refueling Stops,31.4%,Hard,0.2957142441490452, https://leetcode.com/problems/minimum-number-of-refueling-stops
737,Sentence Similarity II,45.8%,Medium,0.2929871246814741, https://leetcode.com/problems/sentence-similarity-ii
261,Graph Valid Tree,42.2%,Medium,0.2909599962484513, https://leetcode.com/problems/graph-valid-tree
375,Guess Number Higher or Lower II,40.3%,Medium,0.2895460058898436, https://leetcode.com/problems/guess-number-higher-or-lower-ii
982,Triples with Bitwise AND Equal To Zero,55.6%,Hard,0.2876820724517809, https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero
2,Add Two Numbers,33.9%,Medium,0.2861175570266303, https://leetcode.com/problems/add-two-numbers
340,Longest Substring with At Most K Distinct Characters,44.1%,Hard,0.284527977147328, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
758,Bold Words in String,46.0%,Easy,0.2835752904991275, https://leetcode.com/problems/bold-words-in-string
732,My Calendar III,60.0%,Hard,0.2795848622191615, https://leetcode.com/problems/my-calendar-iii
1206,Design Skiplist,57.3%,Hard,0.2795848622191615, https://leetcode.com/problems/design-skiplist
1326,Minimum Number of Taps to Open to Water a Garden,43.6%,Hard,0.2786048543006643, https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden
1036,Escape a Large Maze,35.4%,Hard,0.2776317365982795, https://leetcode.com/problems/escape-a-large-maze
200,Number of Islands,46.8%,Medium,0.2769167662741805, https://leetcode.com/problems/number-of-islands
385,Mini Parser,33.8%,Medium,0.2752815592533259, https://leetcode.com/problems/mini-parser
218,The Skyline Problem,34.6%,Hard,0.2746948769249697, https://leetcode.com/problems/the-skyline-problem
42,Trapping Rain Water,48.9%,Hard,0.2738524150906199, https://leetcode.com/problems/trapping-rain-water
1203,Sort Items by Groups Respecting Dependencies,47.6%,Hard,0.2711095169699942, https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies
1140,Stone Game II,63.3%,Medium,0.2655409465745674, https://leetcode.com/problems/stone-game-ii
845,Longest Mountain in Array,37.2%,Medium,0.2652575419536286, https://leetcode.com/problems/longest-mountain-in-array
499,The Maze III,41.0%,Hard,0.2629424662760252, https://leetcode.com/problems/the-maze-iii
336,Palindrome Pairs,33.7%,Hard,0.2624566048341479, https://leetcode.com/problems/palindrome-pairs
1265,Print Immutable Linked List in Reverse,94.6%,Medium,0.2620761215466096, https://leetcode.com/problems/print-immutable-linked-list-in-reverse
127,Word Ladder,29.6%,Medium,0.2576246451678042, https://leetcode.com/problems/word-ladder
