ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
277,Find the Celebrity,41.8%,Medium,0.7348429454547184, https://leetcode.com/problems/find-the-celebrity
496,Next Greater Element I,63.8%,Easy,0.7306413849875257, https://leetcode.com/problems/next-greater-element-i
535,Encode and Decode TinyURL,79.9%,Medium,0.7284232783609871, https://leetcode.com/problems/encode-and-decode-tinyurl
4,Median of Two Sorted Arrays,29.6%,Hard,0.7245935911034281, https://leetcode.com/problems/median-of-two-sorted-arrays
45,Jump Game II,30.6%,Hard,0.7215178776891609, https://leetcode.com/problems/jump-game-ii
726,Number of Atoms,49.0%,Hard,0.7191226669632059, https://leetcode.com/problems/number-of-atoms
211,Add and Search Word - Data structure design,38.1%,Medium,0.7175070272224768, https://leetcode.com/problems/add-and-search-word-data-structure-design
64,Minimum Path Sum,54.5%,Medium,0.7123229317280146, https://leetcode.com/problems/minimum-path-sum
1044,Longest Duplicate Substring,31.9%,Hard,0.707512950361979, https://leetcode.com/problems/longest-duplicate-substring
314,Binary Tree Vertical Order Traversal,45.3%,Medium,0.7042169874893927, https://leetcode.com/problems/binary-tree-vertical-order-traversal
739,Daily Temperatures,63.3%,Medium,0.697297868866036, https://leetcode.com/problems/daily-temperatures
394,Decode String,50.0%,Medium,0.6892445361899827, https://leetcode.com/problems/decode-string
323,Number of Connected Components in an Undirected Graph,56.0%,Medium,0.6754476034605444, https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph
449,Serialize and Deserialize BST,52.0%,Medium,0.6727822146017972, https://leetcode.com/problems/serialize-and-deserialize-bst
403,Frog Jump,39.7%,Hard,0.6655201946784034, https://leetcode.com/problems/frog-jump
143,Reorder List,37.1%,Medium,0.6644936178538985, https://leetcode.com/problems/reorder-list
11,Container With Most Water,50.8%,Medium,0.6631685190860763, https://leetcode.com/problems/container-with-most-water
1038,Binary Search Tree to Greater Sum Tree,80.8%,Medium,0.6563976383512038, https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree
640,Solve the Equation,42.0%,Medium,0.648363577932972, https://leetcode.com/problems/solve-the-equation
895,Maximum Frequency Stack,60.6%,Hard,0.6397557387655486, https://leetcode.com/problems/maximum-frequency-stack
165,Compare Version Numbers,27.4%,Medium,0.6394004632572682, https://leetcode.com/problems/compare-version-numbers
711,Number of Distinct Islands II,47.3%,Hard,0.6359887667199967, https://leetcode.com/problems/number-of-distinct-islands-ii
210,Course Schedule II,40.7%,Medium,0.6329329320920142, https://leetcode.com/problems/course-schedule-ii
517,Super Washing Machines,38.3%,Hard,0.6257058997644127, https://leetcode.com/problems/super-washing-machines
91,Decode Ways,24.7%,Medium,0.6216605021582633, https://leetcode.com/problems/decode-ways
767,Reorganize String,48.7%,Medium,0.6188332351820143, https://leetcode.com/problems/reorganize-string
1219,Path with Maximum Gold,65.1%,Medium,0.6151572787436681, https://leetcode.com/problems/path-with-maximum-gold
543,Diameter of Binary Tree,48.4%,Easy,0.6049865380663455, https://leetcode.com/problems/diameter-of-binary-tree
399,Evaluate Division,51.6%,Medium,0.6025713727780729, https://leetcode.com/problems/evaluate-division
109,Convert Sorted List to Binary Search Tree,47.7%,Medium,0.5978370007556205, https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
1214,Two Sum BSTs,67.6%,Medium,0.5957174923400869, https://leetcode.com/problems/two-sum-bsts
721,Accounts Merge,48.8%,Medium,0.5908536653497264, https://leetcode.com/problems/accounts-merge
445,Add Two Numbers II,54.5%,Medium,0.5844726602120818, https://leetcode.com/problems/add-two-numbers-ii
55,Jump Game,34.6%,Medium,0.5804024133599197, https://leetcode.com/problems/jump-game
317,Shortest Distance from All Buildings,41.4%,Hard,0.5785023490481647, https://leetcode.com/problems/shortest-distance-from-all-buildings
362,Design Hit Counter,63.7%,Medium,0.5752838074863666, https://leetcode.com/problems/design-hit-counter
634,Find the Derangement of An Array,40.1%,Medium,0.5623075796011341, https://leetcode.com/problems/find-the-derangement-of-an-array
